ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
847077,0.211,0.000,0.211,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:394(add_internal)
847077,0.309,0.000,0.507,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:154(add_internal)
1170,0.001,0.000,0.002,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:162(remove_internal)
228832,0.159,0.000,0.376,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:439(__iter__)
7858,0.010,0.000,0.020,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:624(__bool__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:627(__len__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:90(RLock)
1619,0.003,0.000,0.028,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:42(_simplename)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:832(<listcomp>)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:214(_compile_charset)
22,0.000,0.000,0.025,0.001,f:\Programme\Tower Defense\tower.py:5(__init__)
4/2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:507(_parse)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:486(__new__)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:241(_optimize_charset)
836465,0.733,0.000,1.081,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:1664(collide_mask)
